question,type,options,answer,concepts
"A team's performance is measured by the business value and user outcomes they achieve, not just the features they ship. According to the study material, this describes a:",mcq,Product Team|Delivery Team|Project Team|Scrum Team,Product Team,"Product Team vs Delivery Team,Product Mindset"
Which of the following is NOT listed as a key principle of a 'Product Mindset'?,mcq,Adhering strictly to the initial project plan|Focusing on delivering real benefits to customers|Using evidence and metrics to guide choices|Encouraging teamwork across all departments,Adhering strictly to the initial project plan,Product Mindset
"In the context of the 'product team trio', which role is primarily responsible for answering the question, 'Should we do this?'",mcq,Product Manager|Tech Lead|Product Designer|Project Manager,Product Manager,"Product Team,Viability, Feasibility, Desirability"
What is the primary distinction between a Product Manager and a Product Owner?,mcq,"A Product Owner is a specific role within the Scrum framework, while a Product Manager has a broader strategic responsibility.|A Product Manager writes user stories, while a Product Owner defines the product vision.|There is no difference; the terms are interchangeable.|A Product Owner manages the budget, while a Product Manager manages the engineers.","A Product Owner is a specific role within the Scrum framework, while a Product Manager has a broader strategic responsibility.","Role of Product Manager,Product Owner"
"According to the lecture, focusing a product strategy on a list of features to build, such as 'Create a platform that allows music producers to upload and share their music,' is an example of what?",mcq,The product strategy trap|A strong product vision|A go-to-market plan|A business canvas model,The product strategy trap,Product Strategy
The process of identifying and validating customer problems and opportunities to guide product development is known as:,mcq,Discovery|Delivery|Go-to-market|Project planning,Discovery,Discovery
"A product team is analyzing website analytics, A/B test results, and app usage data. What type of data are they primarily working with?",mcq,Quantitative Data|Qualitative Data|Subjective Data|Anecdotal Data,Quantitative Data,"Discovery,Qualitative vs Quantitative Data"
"A customer is aware they have a problem and can clearly define it, such as 'I need a way to generate a report for my client.' This is an example of an:",mcq,Unmet Need|Unrealized Need|Job Story|Vanity Metric,Unmet Need,"Customer Problems,Unmet Need"
"Which framework is described as helping to identify the needs and motivations behind a customer's problem, and is often used when a team is stuck in 'solution mode'?",mcq,Jobs to be done (JTBD)|Business Canvas|Value Proposition Canvas|Customer Journey Map,Jobs to be done (JTBD),"Jobs to be done (JTBD),Customer Problems"
A metric that can be compared across different time periods or user segments is described as having which key characteristic?,mcq,Comparative|Understandable|A ratio or a rate|Actionable,Comparative,Metrics
The statement 'Make Uber the cheap and efficient alternative to both owning a vehicle and taking public transportation' is a classic example of a:,mcq,Product Vision|Product Strategy|Business Goal|Key Feature,Product Vision,"Product Vision,Product Strategy"
"True or False: According to the study material, product management and project management are essentially the same discipline with different titles.",truefalse,,False,"Role of Product Manager,Project Management"
Which of the following is considered a 'vanity metric' according to the examples provided?,mcq,Total registered users|Customer retention rate|Monthly active users|Conversion rate,Total registered users,"Metrics,Vanity Metrics"
"A product manager who can lead and influence engineers, designers, and stakeholders without having direct authority over them is demonstrating which core competency?",mcq,Inspire Trust|Technical Understanding|Business Savvy|Empathy,Inspire Trust,Role of Product Manager
"The goal of discovery is to ensure that when engineers are asked to build production-quality software, it won't be a wasted effort.",truefalse,,True,Discovery
A product team observes that many customers are using a complex combination of spreadsheets and calendar reminders to manage their finances. This observation is a strong indicator of what?,mcq,A strong problem that customers are actively trying to solve|A market with no viable business model|A problem that is too niche to be valuable|A need that can only be solved with qualitative data,A strong problem that customers are actively trying to solve,"Customer Problems,Evaluating Customer Problems"
Which of the following best describes the principle of 'Iterative Development' in a product mindset?,mcq,"Building and improving the product in small, incremental steps.|Delivering the entire product in one single launch.|Focusing only on engineering tasks.|Validating ideas only after the product is fully built.","Building and improving the product in small, incremental steps.",Product Mindset
The Tech Lead in the 'product team trio' is primarily focused on which aspect of a product's success?,mcq,Feasibility|Viability|Desirability|Marketability,Feasibility,"Product Team,Viability, Feasibility, Desirability"
A 'Job Story' is structured to be agnostic of the solution and get to the root of the problem. Which of the following examples best fits the JTBD Story format?,mcq,"When I am not ready to buy an item yet, I want to save it for later, so I can come back and quickly purchase it.|As a customer, I want to save items to a wishlist, so that I can buy them later.|The user needs a button to add items to a cart.|Implement a 'save for later' feature for all users.","When I am not ready to buy an item yet, I want to save it for later, so I can come back and quickly purchase it.","Jobs to be done (JTBD),Customer Problems"
"One of the key discovery principles from SVPG is that most of our product ideas will not work, and the ones that do will require iteration.",truefalse,,True,Discovery Principles
"A company's overarching plan for how it will compete, grow, and achieve its financial goals is defined as its:",mcq,Business Strategy|Product Strategy|Product Vision|Go-to-market Plan,Business Strategy,"Business Strategy,Product Strategy"
Which of the following is a primary responsibility of a Product Manager?,mcq,Defining and measuring success criteria|Writing and deploying code|Putting together detailed project budgets and milestones|Creating final visual designs and mockups,Defining and measuring success criteria,Role of Product Manager
Observing users in their natural environment to understand their behavior and uncover frustrations they can't articulate is a method for finding:,mcq,Unrealized Needs|Unmet Needs|Product Requirements|Key Performance Indicators,Unrealized Needs,"Customer Problems,Unrealized Need"
A good metric should be a ratio or a rate because they are generally easier to act on.,truefalse,,True,Metrics
What is the primary danger of a delivery team that does not validate its solutions before building?,mcq,They risk building features that do not solve a real customer problem or create business value.|They will always be over budget and behind schedule.|They will not be able to write any code.|They will have poor collaboration with stakeholders.,They risk building features that do not solve a real customer problem or create business value.,"Product Team vs Delivery Team,Discovery"
The core idea that 'Solving big problems for customers creates big value for businesses' connects which two concepts?,mcq,Customer needs and business goals|Feasibility and desirability|Discovery and delivery|Qualitative and quantitative data,Customer needs and business goals,"Product Strategy,Value Creation"
"User interviews, customer feedback, and social media comments are all examples of what kind of data?",mcq,Qualitative Data|Quantitative Data|Comparative Data|Structured Data,Qualitative Data,"Discovery,Qualitative vs Quantitative Data"
"The Product Designer is primarily responsible for ensuring a product is desirable, meaning they answer the question 'Do they want this?'.",truefalse,,True,"Product Team,Viability, Feasibility, Desirability"
Which of the following is NOT a core competency for a product manager listed in the material?,mcq,Expert-level coding ability|Business Savvy|Empathy|Communication,Expert-level coding ability,Role of Product Manager
A product team that embraces 'Continuous Discovery Habits' would likely be engaged in which activity?,mcq,"Conducting customer interviews on a regular, weekly basis.|Planning the entire product roadmap a year in advance.|Waiting for stakeholders to provide a complete list of requirements.|Focusing exclusively on fixing bugs in the existing product.","Conducting customer interviews on a regular, weekly basis.","Discovery,Continuous Discovery Habits"
A key difference between a Product Team and a Delivery Team is that a Product Team will measure outcomes and iterate on a feature after it's delivered if required.,truefalse,,True,Product Team vs Delivery Team
"A document that outlines the steps a customer takes to use your product, their actions, pain points, and feelings is called a:",mcq,Customer Journey Map|Product Backlog|Business Canvas|Go-to-market Strategy,Customer Journey Map,"Customer Journey Map,Discovery"
"According to the principles of a product mindset, why is 'Cross-Functional Collaboration' important?",mcq,It encourages teamwork across all departments to build a better product.|It ensures that only the product manager makes decisions.|It reduces the need for customer research.|It allows the engineering team to work in isolation.,It encourages teamwork across all departments to build a better product.,Product Mindset
The primary goal of the discovery process is to ship features to customers as quickly as possible.,truefalse,,False,Discovery
"A metric is more useful if it is understandable, meaning:",mcq,Everyone on the team agrees on its definition and how it is measured.|It is a very complex and detailed calculation.|Only the product manager knows how to interpret it.|It can be easily manipulated to look good.,Everyone on the team agrees on its definition and how it is measured.,Metrics
"Which of the following questions is NOT one of the three key questions associated with a product's success (viability, feasibility, desirability)?",mcq,Is it profitable immediately?|Do they want this?|Can we do this?|Should we do this?,Is it profitable immediately?,"Viability, Feasibility, Desirability"
The 'Product Mindset' focuses on understanding and solving real customer problems rather than just building features.,truefalse,,True,Product Mindset
"When evaluating a customer problem, what is one of the key questions a product team should ask?",mcq,Does solving this problem align with the team's goals or outcomes?|Is this the easiest problem to solve with our current technology?|Did the CEO suggest this idea personally?|Can we deliver a solution in the next two-week sprint?,Does solving this problem align with the team's goals or outcomes?,"Evaluating Customer Problems,Product Strategy"
A high-level plan that helps a company realize its product vision is called the:,mcq,Product Strategy|Product Backlog|User Story|Project Plan,Product Strategy,"Product Strategy,Product Vision"
The Product Backlog is primarily managed and groomed by the Product Owner in a Scrum team.,truefalse,,True,"Product Owner,Role of Product Manager"
Which of the following best describes the 'Ownership & Accountability' principle of a product mindset?,mcq,Taking responsibility for the product’s success and failures.|Owning the code that is written for the product.|Ensuring every team member owns a specific feature.|Holding only the engineers accountable for product outcomes.,Taking responsibility for the product’s success and failures.,Product Mindset
"A product team should use either quantitative or qualitative techniques for discovery, but never both.",truefalse,,False,"Discovery Principles,Qualitative vs Quantitative Data"
What is the relationship between Product Vision and Product Strategy?,mcq,"Product Strategy is the high-level plan to achieve the Product Vision.|Product Vision is a detailed component of the Product Strategy.|They are the same thing.|Product Vision is created by marketing, while Product Strategy is created by engineering.",Product Strategy is the high-level plan to achieve the Product Vision.,"Product Vision,Product Strategy"
The primary purpose of a Value Proposition Canvas is to:,mcq,Ensure a product's features align with customer pains and gains.|Document the technical architecture of a product.|Create a timeline and budget for a project.|Analyze the company's key financial metrics.,Ensure a product's features align with customer pains and gains.,"Value Proposition Canvas,Discovery"
A product team that focuses on being 'Outcome-Oriented' would prioritize which of the following?,mcq,Increasing customer satisfaction and market growth.|Completing all tasks in the current sprint.|Writing detailed documentation for every feature.|Following the original project plan without deviation.,Increasing customer satisfaction and market growth.,Product Mindset
Which of the following is a key reason a Delivery Team might fail to build a successful product?,mcq,They have a limited understanding of their customers and users.|They use an agile development methodology.|They collaborate too closely with stakeholders.|They measure their impact on the business.,They have a limited understanding of their customers and users.,Product Team vs Delivery Team
One of the benefits of defining metrics is that it helps the business be more focused and less reactive.,truefalse,,True,Metrics
A product manager's ability to understand and converse with the engineering team about technical trade-offs falls under which core competency?,mcq,Technical Understanding|Business Savvy|Soft Skills|Empathy,Technical Understanding,Role of Product Manager
The concept of 'Data-Driven Decisions' in a product mindset means that:,mcq,Evidence and metrics should be used to guide product choices.|Decisions should only be made based on quantitative data.|The team must collect as much data as possible before acting.|Only data scientists are allowed to make product decisions.,Evidence and metrics should be used to guide product choices.,"Product Mindset,Metrics"
"The three key components of a Product Strategy, as shown in the diagram, are Markets and Needs, Business Goals, and:",mcq,Key Features|Project Budget|Marketing Plan|Technical Specifications,Key Features,Product Strategy
